,,Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling,Expected years of schooling,Gross National Income (GNI) per capita,GNI per capita rank minus HDI rank,Nonincome HDI                         
1,Norway,0.943,81.1,12.6,17.3,47557,6,0.975
2,Australia,0.929,81.9,12,18,34431,16,0.979
3,Netherlands,0.91,80.7,11.6,16.8,36402,9,0.944
4,United States,0.91,78.5,12.4,16,43017,6,0.931
5,New Zealand,0.908,80.7,12.5,18,23737,30,0.978
6,Canada,0.908,81,12.1,16,35166,10,0.944
7,Ireland,0.908,80.6,11.6,18,29322,19,0.959
8,Liechtenstein,0.905,79.6,10.3,14.7,83717,-6,0.877
9,Germany,0.905,80.4,12.2,15.9,34854,8,0.94
10,Sweden,0.904,81.4,11.7,15.7,35837,4,0.936
11,Switzerland,0.903,82.3,11,15.6,39924,0,0.926
12,Japan,0.901,83.4,11.6,15.1,32295,11,0.94
13,Hong Kong China (SAR),0.898,82.8,10,15.7,44805,-4,0.91
14,Iceland,0.898,81.8,10.4,18,29354,11,0.943
15,Korea (Republic of),0.897,80.6,11.6,16.9,28230,12,0.945
16,Denmark,0.895,78.8,11.4,16.9,34347,3,0.926
17,Israel,0.888,81.6,11.9,15.5,25849,14,0.939
18,Belgium,0.886,80,10.9,16.1,33357,2,0.914
19,Austria,0.885,80.9,10.8,15.3,35719,-4,0.908
20,France,0.884,81.5,10.6,16.1,30462,4,0.919
21,Slovenia,0.884,79.3,11.6,16.9,24914,11,0.935
22,Finland,0.882,80,10.3,16.8,32438,0,0.911
23,Spain,0.878,81.4,10.4,16.6,26508,6,0.92
24,Italy,0.874,81.9,10.1,16.3,26484,6,0.914
25,Luxembourg,0.867,80,10.1,13.3,50557,-20,0.854
26,Singapore,0.866,81.1,8.8,14.4,52569,-22,0.851
27,Czech Republic,0.865,77.7,12.3,15.6,21405,14,0.917
28,United Kingdom,0.863,80.2,9.3,16.1,33296,-7,0.879
29,Greece,0.861,79.9,10.1,16.5,23747,5,0.902
30,United Arab Emirates,0.846,76.5,9.3,13.3,59993,-27,0.813
31,Cyprus,0.84,79.6,9.8,14.7,24841,2,0.866
32,Andorra,0.838,80.9,10.4,11.5,36095,-19,0.836
33,Brunei Darussalam,0.838,78,8.6,14.1,45753,-25,0.819
34,Estonia,0.835,74.8,12,15.7,16799,13,0.89
35,Slovakia,0.834,75.4,11.6,14.9,19998,8,0.875
36,Malta,0.832,79.6,9.9,14.4,21460,4,0.866
37,Qatar,0.831,78.4,7.3,12,107721,-36,0.757
38,Hungary,0.816,74.4,11.1,15.3,16581,11,0.862
39,Poland,0.813,76.1,10,15.3,17451,7,0.853
40,Lithuania,0.81,72.2,10.9,16.1,16234,10,0.853
41,Portugal,0.809,79.5,7.7,15.9,20573,1,0.833
42,Bahrain,0.806,75.1,9.4,13.4,28169,-14,0.806
43,Latvia,0.805,73.3,11.5,15,14293,12,0.857
44,Chile,0.805,79.1,9.7,14.7,13329,14,0.862
45,Argentina,0.797,75.9,9.3,15.8,14527,9,0.843
